Title,Year,Runtime,Director,Genres,Rate,Votes
Organize Isler,2005,106 min,Yilmaz Erdogan,"Comedy, Drama",7.4,27753.0
Hokkabaz,2006,122 min,Ali Taner Baltaci,"Comedy, Drama",7.4,27646.0
"Carter, o Vingador",1971,112 min,Mike Hodges,"Action, Crime, Thriller",7.4,27174.0
Retorno a Howards End,1992,142 min,James Ivory,"Drama, Romance",7.4,26846.0
Lone Star - A Estrela Solitaria,1996,135 min,John Sayles,"Drama, Mystery",7.4,26821.0
Carne Tremula,1997,103 min,Pedro Almodóvar,Drama,7.4,26758.0
A Sociedade Literaria e a Torta de Casca de Batata,2018,124 min,Mike Newell,"Drama, History, Romance",7.4,26714.0
O Melhor Jogo da Historia,2005,120 min,Bill Paxton,"Biography, Drama, History",7.4,26542.0
Geracao Roubada,2002,94 min,Phillip Noyce,"Adventure, Biography, Drama",7.4,26467.0
Os Implacaveis,1972,123 min,Sam Peckinpah,"Action, Crime, Thriller",7.4,26070.0
Pelos Olhos de Maisie,2012,99 min,Scott McGehee,Drama,7.4,25978.0
A Boa Mentira,2014,110 min,Philippe Falardeau,"Biography, Drama",7.4,25977.0
Durante a Tormenta,2018,128 min,Oriol Paulo,"Drama, Mystery, Romance",7.4,25677.0
Sindrome da China,1979,122 min,James Bridges,"Drama, Thriller",7.4,25284.0
O Garoto da Bicicleta,2011,87 min,Jean-Pierre Dardenne,Drama,7.4,25158.0
Vingadores: Era de Ultron,2015,141 min,Joss Whedon,"Action, Adventure, Sci-Fi",7.3,697829.0
Homem-Aranha,2002,121 min,Sam Raimi,"Action, Adventure, Sci-Fi",7.3,658475.0
Piratas do Caribe: O Bau da Morte,2006,151 min,Gore Verbinski,"Action, Adventure, Fantasy",7.3,628451.0
Truque de Mestre,I 2013,115 min,Louis Leterrier,"Crime, Mystery, Thriller",7.3,568366.0
Pantera Negra,2018,134 min,Ryan Coogler,"Action, Adventure, Sci-Fi",7.3,562007.0
Homem-Formiga,2015,117 min,Peyton Reed,"Action, Adventure, Comedy",7.3,531578.0
Homem-Aranha 2,2004,127 min,Sam Raimi,"Action, Adventure, Sci-Fi",7.3,517396.0
MIB: Homens de Preto,1997,98 min,Barry Sonnenfeld,"Action, Adventure, Comedy",7.3,492762.0
It: A Coisa,I 2017,135 min,Andy Muschietti,Horror,7.3,418929.0
Sniper Americano,2014,133 min,Clint Eastwood,"Action, Biography, Drama",7.3,415269.0
Fragmentado,IX 2016,117 min,M. Night Shyamalan,"Horror, Thriller",7.3,389020.0
Animais Fantasticos e Onde Habitam,2016,132 min,David Yates,"Adventure, Family, Fantasy",7.3,383542.0
O Terminal,2004,128 min,Steven Spielberg,"Comedy, Drama, Romance",7.3,379392.0
Corpo Fechado,2000,106 min,M. Night Shyamalan,"Drama, Mystery, Sci-Fi",7.3,369180.0
Meu Malvado Favorito 2,2013,98 min,Pierre Coffin,"Animation, Adventure, Comedy",7.3,354270.0
Borat: O Segundo Melhor Reporter do Glorioso Pais Cazaquistao Viaja a America,2006,84 min,Larry Charles,Comedy,7.3,339556.0
Velozes & Furiosos 5: Operacao Rio,2011,130 min,Justin Lin,"Action, Adventure, Thriller",7.3,338363.0
Debi & Loide: Dois Idiotas em Apuros,1994,107 min,Peter Farrelly,Comedy,7.3,337941.0
A Forma da Agua,2017,123 min,Guillermo del Toro,"Adventure, Drama, Fantasy",7.3,335646.0
A Outra Face,1997,138 min,John Woo,"Action, Crime, Sci-Fi",7.3,335035.0
"Sweeney Todd, o Barbeiro Demoniaco da Rua Fleet",2007,116 min,Tim Burton,"Drama, Horror, Musical",7.3,330129.0
A Lenda do Cavaleiro sem Cabeca,1999,105 min,Tim Burton,"Fantasy, Horror, Mystery",7.3,314518.0
O Voo,I 2012,138 min,Robert Zemeckis,"Drama, Thriller",7.3,310670.0
Universidade Monstros,2013,104 min,Dan Scanlon,"Animation, Adventure, Comedy",7.3,303556.0
Os Simpsons: O Filme,2007,87 min,David Silverman,"Animation, Adventure, Comedy",7.3,298914.0
A Vida Secreta de Walter Mitty,2013,114 min,Ben Stiller,"Comedy, Drama, Fantasy",7.3,282052.0
10 Coisas que Eu Odeio em Voce,1999,97 min,Gil Junger,"Comedy, Drama, Romance",7.3,278998.0
O Agente da U.N.C.L.E.,2015,116 min,Guy Ritchie,"Action, Adventure, Comedy",7.3,250316.0
O Contador,2016,128 min,Gavin O'Connor,"Action, Crime, Drama",7.3,243622.0
Lincoln,2012,150 min,Steven Spielberg,"Biography, Drama, History",7.3,234500.0
O Lugar Onde Tudo Termina,2012,140 min,Derek Cianfrance,"Crime, Drama, Thriller",7.3,233301.0
A Noiva Cadaver,2005,77 min,Tim Burton,"Animation, Drama, Family",7.3,230328.0
Jerry Maguire - A Grande Virada,1996,139 min,Cameron Crowe,"Comedy, Drama, Romance",7.3,228966.0
Os Descendentes,2011,115 min,Alexander Payne,"Comedy, Drama",7.3,226526.0
Madrugada dos Mortos,2004,101 min,Zack Snyder,"Action, Horror",7.3,225274.0
Rock'n'Rolla: A Grande Roubada,2008,114 min,Guy Ritchie,"Action, Crime, Thriller",7.3,224741.0
Procurando Dory,2016,97 min,Andrew Stanton,"Animation, Adventure, Comedy",7.3,223817.0
Os Infratores,2012,116 min,John Hillcoat,"Crime, Drama",7.3,219180.0
Inimigo do Estado,1998,132 min,Tony Scott,"Action, Thriller",7.3,218853.0
Identidade,2003,90 min,James Mangold,"Mystery, Thriller",7.3,215430.0
Invocacao do Mal 2,2016,134 min,James Wan,"Horror, Mystery, Thriller",7.3,208075.0
As Aventuras de Tintim,2011,107 min,Steven Spielberg,"Animation, Action, Adventure",7.3,207593.0
Assassinos por Natureza,1994,118 min,Oliver Stone,"Action, Crime, Drama",7.3,206091.0
Dogma,1999,130 min,Kevin Smith,"Adventure, Comedy, Drama",7.3,202231.0
O Poder e a Lei,2011,118 min,Brad Furman,"Crime, Drama, Thriller",7.3,201897.0
Hercules,1997,93 min,Ron Clements,"Animation, Adventure, Comedy",7.3,191392.0
Hereditario,2018,127 min,Ari Aster,"Drama, Horror, Mystery",7.3,191324.0
Tarzan,1999,88 min,Chris Buck,"Animation, Adventure, Family",7.3,190718.0
Quero ser Grande,1988,104 min,Penny Marshall,"Comedy, Drama, Fantasy",7.3,186391.0
Gremlins,1984,106 min,Joe Dante,"Comedy, Fantasy, Horror",7.3,186136.0
Alita: Anjo de Combate,2019,122 min,Robert Rodriguez,"Action, Adventure, Sci-Fi",7.3,184979.0
Foi Apenas um Sonho,2008,119 min,Sam Mendes,"Drama, Romance",7.3,184676.0
Chef,2014,114 min,Jon Favreau,"Adventure, Comedy, Drama",7.3,181926.0
Rocky II: A Revanche,1979,119 min,Sylvester Stallone,"Drama, Sport",7.3,180599.0
A Vida Marinha com Steve Zissou,2004,119 min,Wes Anderson,"Action, Adventure, Comedy",7.3,170629.0
A Nova Onda do Imperador,2000,78 min,Mark Dindal,"Animation, Adventure, Comedy",7.3,168015.0
Ronin,1998,122 min,John Frankenheimer,"Action, Crime, Thriller",7.3,165164.0
"Erin Brockovich, uma Mulher de Talento",2000,131 min,Steven Soderbergh,"Biography, Drama",7.3,164277.0
Cabo do Medo,1991,128 min,Martin Scorsese,"Crime, Thriller",7.3,160628.0
Nem Tudo e o Que Parece,2004,105 min,Matthew Vaughn,"Action, Crime, Drama",7.3,158622.0
Um Tira da Pesada,1984,105 min,Martin Brest,"Action, Comedy, Crime",7.3,153725.0
"Garota, Interrompida",1999,127 min,James Mangold,"Biography, Drama",7.3,153422.0
Superman: O Filme,1978,143 min,Richard Donner,"Action, Adventure, Drama",7.3,152152.0
A Origem dos Guardioes,2012,97 min,Peter Ramsey,"Animation, Action, Adventure",7.3,149959.0
Cacadores de Emocao,1991,122 min,Kathryn Bigelow,"Action, Crime, Thriller",7.3,146050.0
O Primeiro Homem,2018,141 min,Damien Chazelle,"Biography, Drama, History",7.3,144561.0
Invictus,2009,134 min,Clint Eastwood,"Biography, Drama, History",7.3,143895.0
Herois Fora de Orbita,1999,102 min,Dean Parisot,"Adventure, Comedy, Sci-Fi",7.3,141462.0
Instinto Secreto,2007,120 min,Bruce A. Evans,"Crime, Drama, Thriller",7.3,138817.0
O Satanico Dr. No,1962,110 min,Terence Young,"Action, Adventure, Thriller",7.3,138466.0
Embriagado de Amor,2002,95 min,Paul Thomas Anderson,"Comedy, Drama, Romance",7.3,138139.0
Cartas na Mesa,1998,121 min,John Dahl,"Crime, Drama",7.3,137281.0
Cinderela,1950,74 min,Clyde Geronimi,"Animation, Family, Fantasy",7.3,136998.0
Poltergeist: O Fenomeno,1982,114 min,Tobe Hooper,"Horror, Thriller",7.3,134121.0
A Garota Ideal,2007,106 min,Craig Gillespie,"Comedy, Drama, Romance",7.3,133767.0
Monster: Desejo Assassino,2003,109 min,Patty Jenkins,"Biography, Crime, Drama",7.3,128545.0
O Balconista 2,2006,97 min,Kevin Smith,Comedy,7.3,126877.0
Snowden: Heroi ou Traidor,2016,134 min,Oliver Stone,"Biography, Crime, Drama",7.3,125660.0
A Negociacao,1998,140 min,F. Gary Gray,"Action, Crime, Drama",7.3,125049.0
Bambi,1942,70 min,James Algar,"Animation, Drama, Family",7.3,123608.0
Lego Batman: O Filme,2017,104 min,Chris McKay,"Animation, Action, Comedy",7.3,123161.0
Capote,2005,114 min,Bennett Miller,"Biography, Crime, Drama",7.3,120012.0
Os Vigaristas,2003,116 min,Ridley Scott,"Comedy, Crime, Drama",7.3,119865.0
Arizona Nunca Mais,1987,94 min,Joel Coen,"Comedy, Crime",7.3,119824.0
"Bom Dia, Vietna",1987,121 min,Barry Levinson,"Biography, Comedy, Drama",7.3,119630.0
As Aventuras de Peter Pan,1953,77 min,Clyde Geronimi,"Animation, Adventure, Family",7.3,117978.0
Coach Carter: Treino para a Vida,2005,136 min,Thomas Carter,"Biography, Drama, Sport",7.3,117085.0
Os Aventureiros do Bairro Proibido,1986,99 min,John Carpenter,"Action, Adventure, Comedy",7.3,116831.0
Os Garotos Perdidos,1987,97 min,Joel Schumacher,"Comedy, Horror",7.3,116000.0
A Dama e o Vagabundo,1955,76 min,Clyde Geronimi,"Animation, Adventure, Comedy",7.3,114747.0
A Travessia,II 2015,123 min,Robert Zemeckis,"Adventure, Biography, Drama",7.3,113408.0
O Fantasma da Opera,2004,143 min,Joel Schumacher,"Drama, Musical, Romance",7.3,112100.0
Ghost World: Aprendendo a Viver,2001,111 min,Terry Zwigoff,"Comedy, Drama",7.3,108946.0
13 Horas: Os Soldados Secretos de Benghazi,2016,144 min,Michael Bay,"Action, Drama, History",7.3,108728.0
Caminho da Liberdade,I 2010,133 min,Peter Weir,"Adventure, Drama, History",7.3,104539.0
Across the Universe,2007,133 min,Julie Taymor,"Drama, Fantasy, History",7.3,103244.0
The Ballad of Buster Scruggs,2018,133 min,Ethan Coen,"Comedy, Drama, Musical",7.3,102474.0
Eles Vivem,1988,94 min,John Carpenter,"Action, Horror, Sci-Fi",7.3,101421.0
A Rainha,2006,103 min,Stephen Frears,"Biography, Drama, History",7.3,100066.0
Clube dos Pilantras,1980,98 min,Harold Ramis,"Comedy, Sport",7.3,99993.0
A Ponta de um Crime,2005,110 min,Rian Johnson,"Action, Crime, Drama",7.3,97611.0
O Sobrevivente,2006,120 min,Werner Herzog,"Action, Biography, Drama",7.3,97245.0
Diario de um Adolescente,1995,102 min,Scott Kalvert,"Biography, Crime, Drama",7.3,96990.0
Alta Frequencia,2000,118 min,Gregory Hoblit,"Crime, Drama, Mystery",7.3,96892.0
Mare Vermelha,1995,116 min,Tony Scott,"Action, Drama, Thriller",7.3,96096.0
Willow: Na Terra da Magia,1988,126 min,Ron Howard,"Action, Adventure, Drama",7.3,96004.0
Quase 18,2016,104 min,Kelly Fremon Craig,"Comedy, Drama",7.3,93907.0
Sexta-Feira em Apuros,1995,91 min,F. Gary Gray,"Comedy, Drama",7.3,93784.0
Sem Destino,1969,95 min,Dennis Hopper,"Adventure, Drama",7.3,93696.0
Antes que o Diabo Saiba que Voce Esta Morto,2007,117 min,Sidney Lumet,"Crime, Drama, Thriller",7.3,91895.0
Caminhos Perigosos,1973,112 min,Martin Scorsese,"Crime, Drama, Thriller",7.3,91413.0
Amantes Eternos,2013,123 min,Jim Jarmusch,"Comedy, Drama, Fantasy",7.3,84607.0
O Povo Contra Larry Flint,1996,130 min,Milos Forman,"Biography, Drama",7.3,84458.0
Matador em Conflito,1997,107 min,George Armitage,"Action, Comedy, Crime",7.3,84364.0
Okja,2017,120 min,Bong Joon Ho,"Action, Adventure, Drama",7.3,82305.0
Submarino,2010,97 min,Richard Ayoade,"Comedy, Drama, Romance",7.3,81799.0
Twin Peaks: Os Ultimos Dias de Laura Palmer,1992,134 min,David Lynch,"Drama, Horror, Mystery",7.3,80014.0
O Cao e a Raposa,1981,83 min,Ted Berman,"Animation, Adventure, Drama",7.3,79971.0
Indomavel Sonhadora,2012,93 min,Benh Zeitlin,"Adventure, Drama, Fantasy",7.3,78577.0
Digam o que Quiserem,1989,100 min,Cameron Crowe,"Comedy, Drama, Romance",7.3,78520.0
Videodrome: A Sindrome do Video,1983,87 min,David Cronenberg,"Horror, Sci-Fi, Thriller",7.3,77916.0
Jane Eyre,2011,120 min,Cary Joji Fukunaga,"Drama, Romance",7.3,77230.0
O Guarda,2011,96 min,John Michael McDonagh,"Comedy, Crime, Thriller",7.3,77018.0
Coracao Satanico,1987,113 min,Alan Parker,"Horror, Mystery, Thriller",7.3,75877.0
Jornada nas Estrelas IV: A Volta para Casa,1986,119 min,Leonard Nimoy,"Adventure, Comedy, Sci-Fi",7.3,74769.0
Decisao de Risco,2015,102 min,Gavin Hood,"Drama, Thriller, War",7.3,74697.0
Os Sete Suspeitos,1985,94 min,Jonathan Lynn,"Comedy, Crime, Mystery",7.3,73473.0
Dente Canino,2009,97 min,Yorgos Lanthimos,"Drama, Thriller",7.3,73368.0
A Lula e a Baleia,2005,81 min,Noah Baumbach,"Comedy, Drama",7.3,72408.0
A 100 Passos de um Sonho,2014,122 min,Lasse Hallström,"Comedy, Drama",7.3,72304.0
Kung-Fu Futebol Clube,2001,113 min,Stephen Chow,"Action, Comedy, Fantasy",7.3,70923.0
"Paris, Te Amo",2006,120 min,Olivier Assayas,"Comedy, Drama, Romance",7.3,68826.0
Cache,I 2005,117 min,Michael Haneke,"Drama, Mystery, Thriller",7.3,68670.0
Quatro Leoes,2010,97 min,Christopher Morris,"Comedy, Crime, Drama",7.3,68254.0
Amistad,1997,155 min,Steven Spielberg,"Drama, History",7.3,67755.0
Juventude,I 2015,124 min,Paolo Sorrentino,"Comedy, Drama, Music",7.3,67007.0
Sonhando Acordado,2006,105 min,Michel Gondry,"Comedy, Drama, Fantasy",7.3,66379.0
De Repente Uma Familia,2018,118 min,Sean Anders,"Comedy, Drama",7.3,65299.0
A Rainha do Castelo de Ar,2009,147 min,Daniel Alfredson,"Crime, Drama, Thriller",7.3,64954.0
Viagem Alucinante,2009,161 min,Gaspar Noé,"Drama, Fantasy",7.3,64682.0
Nikita: Criada para Matar,1990,117 min,Luc Besson,"Action, Thriller",7.3,64558.0
Sem Perdao,2017,121 min,Ric Roman Waugh,"Crime, Drama, Thriller",7.3,64302.0
Seabiscuit: Alma de Heroi,2003,140 min,Gary Ross,"Drama, History, Sport",7.3,64260.0
Bom Comportamento,2017,101 min,Benny Safdie,"Crime, Drama, Thriller",7.3,63208.0
Festa no Ceu,2014,95 min,Jorge R. Gutiérrez,"Animation, Adventure, Comedy",7.3,61476.0
Christopher Robin: Um Reencontro Inesquecivel,2018,104 min,Marc Forster,"Adventure, Comedy, Drama",7.3,60937.0
O Rei,I 2019,140 min,David Michôd,"Biography, Drama, History",7.3,60918.0
Anomalisa,2015,90 min,Duke Johnson,"Animation, Comedy, Drama",7.3,60826.0
Garotos Incriveis,2000,107 min,Curtis Hanson,"Comedy, Drama",7.3,59588.0
Resgate Abaixo de Zero,2006,120 min,Frank Marshall,"Adventure, Drama, Family",7.3,58130.0
Almas Gemeas,1994,99 min,Peter Jackson,"Biography, Crime, Drama",7.3,56998.0
A Jovem Rainha Vitoria,2009,105 min,Jean-Marc Vallée,"Biography, Drama, History",7.3,55266.0
Cova Rasa,1994,89 min,Danny Boyle,"Crime, Thriller",7.3,54207.0
Ghajini,2008,183 min,A.R. Murugadoss,"Action, Mystery, Thriller",7.3,53663.0
Reino Animal,2010,113 min,David Michôd,"Crime, Drama",7.3,52701.0
Paixao Suicida,2006,88 min,Goran Dukic,"Comedy, Drama, Fantasy",7.3,52037.0
13 Dias que Abalaram o Mundo,2000,145 min,Roger Donaldson,"Drama, History, Thriller",7.3,51869.0
Amizades Improvaveis,2016,97 min,Rob Burnett,"Comedy, Drama",7.3,51858.0
Assassinato no Expresso Oriente,1974,128 min,Sidney Lumet,"Crime, Drama, Mystery",7.3,51715.0
Sexy Beast,2000,89 min,Jonathan Glazer,"Crime, Drama, Thriller",7.3,51655.0
A Volta dos Mortos Vivos,1985,91 min,Dan O'Bannon,"Comedy, Horror, Sci-Fi",7.3,51274.0
A Dama Dourada,2015,109 min,Simon Curtis,"Biography, Drama, History",7.3,50263.0
Os Deuses Devem Estar Loucos,1980,109 min,Jamie Uys,Comedy,7.3,50222.0
Contos Proibidos do Marques de Sade,2000,124 min,Philip Kaufman,"Biography, Drama",7.3,49968.0
O Cavaleiro Solitario,1985,115 min,Clint Eastwood,"Drama, Western",7.3,49525.0
Ligadas pelo Desejo,1996,109 min,Lana Wachowski,"Crime, Romance, Thriller",7.3,48275.0
Adoraveis Mulheres,1994,115 min,Gillian Armstrong,"Drama, Family, Romance",7.3,47138.0
Inverno de Sangue em Veneza,1973,110 min,Nicolas Roeg,"Drama, Horror, Thriller",7.3,45377.0
O Despertar de um Homem,1993,115 min,Michael Caton-Jones,"Biography, Drama",7.3,44089.0
Forca Maior,2014,120 min,Ruben Östlund,"Comedy, Drama",7.3,43980.0
Flores de Aco,1989,117 min,Herbert Ross,"Comedy, Drama, Romance",7.3,43733.0
Detroit em Rebeliao,2017,143 min,Kathryn Bigelow,"Crime, Drama, History",7.3,43406.0
Muito Barulho por Nada,1993,111 min,Kenneth Branagh,"Comedy, Drama, Romance",7.3,43299.0
"Dois Dias, Uma Noite",2014,95 min,Jean-Pierre Dardenne,Drama,7.3,42464.0
Candy,2006,116 min,Neil Armfield,"Drama, Romance",7.3,41615.0
O Reino dos Gatos,2002,75 min,Hiroyuki Morita,"Animation, Adventure, Comedy",7.3,40907.0
Querido Menino,I 2018,120 min,Felix van Groeningen,"Biography, Drama",7.3,40205.0
Coisas Belas e Sujas,2002,97 min,Stephen Frears,"Crime, Drama, Thriller",7.3,39310.0
Um Golpe a Italiana,1969,99 min,Peter Collinson,"Action, Comedy, Crime",7.3,38772.0
Albergue Espanhol,2002,122 min,Cédric Klapisch,"Comedy, Drama, Romance",7.3,38246.0
Gemeos - Morbida Semelhanca,1988,116 min,David Cronenberg,"Drama, Horror, Thriller",7.3,37910.0
Ritmo de um Sonho,2005,116 min,Craig Brewer,"Crime, Drama, Music",7.3,37481.0
Uma Janela para o Amor,1985,117 min,James Ivory,"Drama, Romance",7.3,37104.0
Meu Nome e Dolemite,2019,118 min,Craig Brewer,"Biography, Comedy, Drama",7.3,36326.0
Transformers: O Filme,1986,84 min,Nelson Shin,"Animation, Action, Adventure",7.3,36314.0
Mulheres do Seculo 20,2016,119 min,Mike Mills,"Comedy, Drama",7.3,35174.0
Soul Kitchen,2009,99 min,Fatih Akin,"Comedy, Drama",7.3,34618.0
Shaun: O Carneiro,2015,85 min,Mark Burton,"Animation, Adventure, Comedy",7.3,34587.0
O Jardim Secreto,1993,101 min,Agnieszka Holland,"Drama, Family, Fantasy",7.3,34379.0
Mr. Holland: Adoravel Professor,1995,143 min,Stephen Herek,"Drama, Music",7.3,34187.0
A.R.O.G,2008,127 min,Ali Taner Baltaci,"Comedy, Fantasy, Sci-Fi",7.3,34007.0
"Eu, Voce e Todos Nos",2005,91 min,Miranda July,"Comedy, Drama",7.3,33803.0
Vale Tudo,1977,123 min,George Roy Hill,"Comedy, Drama, Sport",7.3,32774.0
A Insustentavel Leveza do Ser,1988,171 min,Philip Kaufman,"Drama, Romance",7.3,32210.0
Os Invenciveis,2008,139 min,Jee-woon Kim,"Action, Adventure, Western",7.3,31608.0
Voltando a Viver,2002,120 min,Denzel Washington,"Biography, Drama",7.3,31387.0
A Festa Nunca Termina,2002,117 min,Michael Winterbottom,"Biography, Comedy, Drama",7.3,31369.0
Um Crime Americano,2007,98 min,Tommy O'Haver,"Biography, Crime, Drama",7.3,30745.0
Drugstore Cowboy,1989,101 min,Gus Van Sant,"Crime, Drama",7.3,30539.0
O Voo do Dragao,1972,99 min,Bruce Lee,"Action, Adventure, Crime",7.3,29758.0
"Pecados Antigos, Longas Sombras",2014,105 min,Alberto Rodríguez,"Adventure, Crime, Horror",7.3,27804.0
Viver e Morrer em Los Angeles,1985,116 min,William Friedkin,"Action, Crime, Drama",7.3,27164.0
O Fim da Turne,2015,106 min,James Ponsoldt,"Biography, Drama",7.3,26960.0
Um Assaltante Bem Trapalhao,1969,85 min,Woody Allen,"Comedy, Crime",7.3,26815.0
Um Ano Mais,2010,129 min,Mike Leigh,"Comedy, Drama",7.3,26808.0
Belle,2013,100 min,Amma Asante,"Biography, Drama, Romance",7.3,26690.0
Morte Sobre o Nilo,1978,140 min,John Guillermin,"Crime, Drama, Mystery",7.3,25856.0
Poder Alem da Vida,2006,120 min,Victor Salva,"Drama, Romance, Sport",7.3,25467.0
Max Manus,2008,118 min,Joachim Rønning,"Action, Biography, Drama",7.3,25400.0
Assassinato em Primeiro Grau,1995,122 min,Marc Rocco,"Drama, Thriller",7.3,25382.0
Jogos Vorazes,2012,142 min,Gary Ross,"Action, Adventure, Sci-Fi",7.2,811337.0
Homem de Ferro 3,2013,130 min,Shane Black,"Action, Adventure, Sci-Fi",7.2,718937.0
Eu Sou a Lenda,2007,101 min,Francis Lawrence,"Adventure, Drama, Sci-Fi",7.2,652463.0
Matrix Reloaded,2003,138 min,Lana Wachowski,"Action, Sci-Fi",7.2,492246.0
Anjos da Lei,2012,109 min,Phil Lord,"Action, Comedy, Crime",7.2,490127.0
Troia,2004,163 min,Wolfgang Petersen,"Drama, History",7.2,465859.0
O Grande Gatsby,2013,143 min,Baz Luhrmann,"Drama, Romance",7.2,449031.0
Trapaca,2013,138 min,David O. Russell,"Crime, Drama",7.2,429157.0
Shrek 2,2004,93 min,Andrew Adamson,"Animation, Adventure, Comedy",7.2,397128.0
King Kong,2005,187 min,Peter Jackson,"Action, Adventure, Drama",7.2,375954.0
Velozes & Furiosos 7,2015,137 min,James Wan,"Action, Adventure, Thriller",7.2,344271.0
Duro de Matar 2,1990,124 min,Renny Harlin,"Action, Thriller",7.2,321928.0
O Ancora: A Lenda de Ron Burgundy,2004,94 min,Adam McKay,Comedy,7.2,316449.0
O Protetor,2014,132 min,Antoine Fuqua,"Action, Crime, Thriller",7.2,313828.0
Velocidade Maxima,1994,116 min,Jan de Bont,"Action, Adventure, Thriller",7.2,312688.0
Atirador,I 2007,124 min,Antoine Fuqua,"Action, Drama, Thriller",7.2,298380.0
A.I.: Inteligencia Artificial,2001,146 min,Steven Spielberg,"Drama, Sci-Fi",7.2,280458.0
"Rua Cloverfield, 10",2016,103 min,Dan Trachtenberg,"Drama, Horror, Mystery",7.2,272531.0
Um Drink no Inferno,1996,108 min,Robert Rodriguez,"Action, Crime, Horror",7.2,272432.0
Panico,1996,111 min,Wes Craven,"Horror, Mystery",7.2,270792.0
A Escolha Perfeita,2012,112 min,Jason Moore,"Comedy, Music, Romance",7.2,263914.0
Insonia,2002,118 min,Christopher Nolan,"Drama, Mystery, Thriller",7.2,260398.0
Tropas Estelares,1997,129 min,Paul Verhoeven,"Action, Adventure, Sci-Fi",7.2,256656.0
Cruzada,2005,144 min,Ridley Scott,"Action, Adventure, Drama",7.2,256185.0
Vida de Inseto,1998,95 min,John Lasseter,"Animation, Adventure, Comedy",7.2,254217.0
O Patriota,2000,165 min,Roland Emmerich,"Action, Drama, History",7.2,243731.0
Kung Fu Panda 2,2011,90 min,Jennifer Yuh Nelson,"Animation, Action, Adventure",7.2,238305.0
Dragao Vermelho,2002,124 min,Brett Ratner,"Crime, Drama, Thriller",7.2,237413.0
Sete Psicopatas e um Shih Tzu,2012,110 min,Martin McDonagh,"Comedy, Crime",7.2,229645.0
007 Contra GoldenEye,1995,130 min,Martin Campbell,"Action, Adventure, Thriller",7.2,228275.0
True Lies,1994,141 min,James Cameron,"Action, Comedy, Thriller",7.2,226522.0
Sunshine - Alerta Solar,2007,107 min,Danny Boyle,"Sci-Fi, Thriller",7.2,224820.0
Rango,2011,107 min,Gore Verbinski,"Animation, Adventure, Comedy",7.2,223149.0
Grease: Nos Tempos da Brilhantina,1978,110 min,Randal Kleiser,"Musical, Romance",7.2,220940.0
Fonte da Vida,2006,97 min,Darren Aronofsky,"Drama, Mystery, Romance",7.2,220341.0
Megamente,2010,95 min,Tom McGrath,"Animation, Action, Comedy",7.2,215242.0
Encontro Marcado,1998,178 min,Martin Brest,"Drama, Fantasy, Romance",7.2,201980.0
Cubo,1997,90 min,Vincenzo Natali,"Drama, Mystery, Sci-Fi",7.2,198938.0
O Lagosta,2015,119 min,Yorgos Lanthimos,"Comedy, Drama, Romance",7.2,195854.0
Closer: Perto Demais,I 2004,104 min,Mike Nichols,"Drama, Romance",7.2,194855.0
Abismo do Medo,2005,99 min,Neil Marshall,"Adventure, Horror, Thriller",7.2,190521.0
Os Croods,2013,98 min,Kirk DeMicco,"Animation, Action, Adventure",7.2,182066.0
Um Crime de Mestre,2007,113 min,Gregory Hoblit,"Crime, Drama, Thriller",7.2,175808.0
Chocolate,2000,121 min,Lasse Hallström,"Drama, Romance",7.2,171673.0
Viagem a Darjeeling,2007,91 min,Wes Anderson,"Adventure, Comedy, Drama",7.2,170384.0
Efeito Domino,2008,111 min,Roger Donaldson,"Crime, Thriller",7.2,168412.0
A Balada do Pistoleiro,1995,104 min,Robert Rodriguez,"Action, Thriller",7.2,164485.0
Karate Kid: A Hora da Verdade,1984,126 min,John G. Avildsen,"Action, Drama, Family",7.2,163521.0
Lilo & Stitch,2002,85 min,Dean DeBlois,"Animation, Adventure, Comedy",7.2,156937.0
Team America: Detonando o Mundo,2004,98 min,Trey Parker,"Action, Comedy",7.2,154184.0
Maquina Mortifera 2,1989,114 min,Richard Donner,"Action, Crime, Thriller",7.2,153817.0
O Escritor Fantasma,2010,128 min,Roman Polanski,"Drama, Mystery, Thriller",7.2,151207.0
Conduta de Risco,2007,119 min,Tony Gilroy,"Crime, Drama, Mystery",7.2,151132.0
A Incrivel Historia de Adaline,2015,112 min,Lee Toland Krieger,"Drama, Fantasy, Romance",7.2,144787.0
Steve Jobs,2015,122 min,Danny Boyle,"Biography, Drama",7.2,143927.0
101 Dalmatas,1961,79 min,Clyde Geronimi,"Animation, Adventure, Comedy",7.2,143704.0
Cavalo de Guerra,2011,146 min,Steven Spielberg,"Action, Adventure, Drama",7.2,140308.0
As Virgens Suicidas,1999,97 min,Sofia Coppola,"Drama, Romance",7.2,137651.0
Invencivel,I 2014,137 min,Angelina Jolie,"Biography, Drama, Sport",7.2,135392.0
Cold Mountain,2003,154 min,Anthony Minghella,"Adventure, Drama, History",7.2,134854.0
Um Ato de Liberdade,I 2008,137 min,Edward Zwick,"Action, Drama, History",7.2,132720.0
Inverno da Alma,2010,100 min,Debra Granik,"Drama, Mystery",7.2,130586.0
Procura-se Amy,1997,113 min,Kevin Smith,"Comedy, Drama, Romance",7.2,128016.0
A Bela Adormecida,1959,75 min,Clyde Geronimi,"Animation, Family, Fantasy",7.2,127614.0
