Title,Year,Runtime,Director,Genres,Rate,Votes
"Alien, o Oitavo Passageiro",1979,117 min,Ridley Scott,"Horror, Sci-Fi",8.4,742038.0
Apocalypse Now,1979,147 min,Francis Ford Coppola,"Drama, Mystery, War",8.4,569895.0
Oldboy,2003,120 min,Chan-wook Park,"Action, Drama, Mystery",8.4,478856.0
Dr. Fantastico,1964,95 min,Stanley Kubrick,Comedy,8.4,427755.0
Janela Indiscreta,1954,112 min,Alfred Hitchcock,"Mystery, Thriller",8.4,415100.0
A Vida dos Outros,2006,137 min,Florian Henckel von Donnersmarck,"Drama, Mystery, Thriller",8.4,335913.0
Viva: A Vida e uma Festa,I 2017,105 min,Lee Unkrich,"Animation, Adventure, Family",8.4,317862.0
3 Idiotas,2009,170 min,Rajkumar Hirani,"Comedy, Drama",8.4,315196.0
Princesa Mononoke,1997,134 min,Hayao Miyazaki,"Animation, Adventure, Fantasy",8.4,308283.0
Homem-Aranha no Aranhaverso,2018,117 min,Bob Persichetti,"Animation, Action, Adventure",8.4,292281.0
Era uma Vez na America,1984,229 min,Sergio Leone,"Crime, Drama",8.4,289983.0
Crepusculo dos Deuses,1950,110 min,Billy Wilder,"Drama, Film-Noir",8.4,187031.0
Gloria Feita de Sangue,1957,88 min,Stanley Kubrick,"Drama, War",8.4,163895.0
Your Name.,2016,106 min,Makoto Shinkai,"Animation, Drama, Fantasy",8.4,155697.0
Como Estrelas na Terra,2007,165 min,Aamir Khan,"Drama, Family",8.4,151252.0
Dangal,2016,161 min,Nitesh Tiwari,"Action, Biography, Drama",8.4,134927.0
Testemunha de Acusacao,1957,116 min,Billy Wilder,"Crime, Drama, Film-Noir",8.4,98063.0
Uri: The Surgical Strike,2019,138 min,Aditya Dhar,"Action, Drama, War",8.4,36875.0
Cafarnaum,2018,126 min,Nadine Labaki,Drama,8.4,36718.0
Drishyam,2013,160 min,Jeethu Joseph,"Crime, Drama, Thriller",8.4,28172.0
Bastardos Inglorios,2009,153 min,Quentin Tarantino,"Adventure, Drama, War",8.3,1178250.0
Beleza Americana,1999,122 min,Sam Mendes,Drama,8.3,1019123.0
Coracao Valente,1995,178 min,Mel Gibson,"Biography, Drama, History",8.3,917146.0
"Star Wars, Episodio VI: O Retorno do Jedi",1983,131 min,Richard Marquand,"Action, Adventure, Fantasy",8.3,899994.0
Caes de Aluguel,1992,99 min,Quentin Tarantino,"Crime, Drama, Thriller",8.3,864488.0
Brilho Eterno de uma Mente sem Lembrancas,2004,108 min,Michel Gondry,"Drama, Romance, Sci-Fi",8.3,853922.0
